incident_id,model,condition,latency_sec,rca_accuracy,log_faithfulness,confidence_score,regime,category_label,root_cause_description
INC-002,nvidia-llama,A,3.85,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,The pod is stuck in a crash loop due to an image pull error. The image 'nginx:this-tag-is-fake-123' does not exist in th
INC-002,nvidia-llama,B,5.75,1,0.5,1.0,PARTIAL_GROUNDING,PodCrashLooping,The pod is unable to pull the specified Docker image due to a 'NotFound' error. The image 'nginx:this-tag-is-fake-123' d
INC-002,nvidia-llama,C,1.99,1,0.0,0.8,CONFIDENT_LIAR,PodCrashLooping,"The pod is crash looping due to a forced termination by the chaos experiment, which caused the container to exit unexpec"
INC-002,nvidia-llama,D,1.72,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,The pod is crashing due to a forced termination as part of a chaos experiment.
INC-002,nvidia-mistral,A,7.01,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,"The pod is not ready because it is unable to pull the specified container image, 'nginx:this-tag-is-fake-123'. The image"
INC-002,nvidia-mistral,B,6.45,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,The pod is failing to start due to an image pull error for the specified container image 'nginx:this-tag-is-fake-123'. T
INC-002,nvidia-mistral,C,4.36,1,0.5,0.9,PARTIAL_GROUNDING,PodCrashLooping,"The provided incident context indicates that the pod 'my-pod' is in a CrashLoopBackOff state, which means it is repeated"
INC-002,nvidia-mistral,D,3.38,1,0.0,0.9,CONFIDENT_LIAR,PodCrashLooping,"The pod is continuously crashing and restarting, indicating a potential misconfiguration or issue with the application."
INC-003,nvidia-llama,A,3.66,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,The pod is stuck in a crash loop due to an image pull error. The image 'nginx:this-tag-is-fake-123' does not exist in th
INC-003,nvidia-llama,B,3.77,1,0.0,0.9,CONFIDENT_LIAR,PodCrashLooping,The pod is crash looping due to an image pull error. The image 'nginx:this-tag-is-fake-123' does not exist in the Docker
INC-003,nvidia-llama,C,1.78,1,0.0,0.5,CONFIDENT_LIAR,PodCrashLooping,"The pod is crash looping, but the exact reason cannot be determined due to the unavailability of logs."
INC-003,nvidia-llama,D,3.79,1,0.0,0.8,CONFIDENT_LIAR,PodCrashLooping,"The pod is experiencing a crash looping issue, but the exact cause is unknown due to lack of logs and events. However, t"
INC-003,nvidia-mistral,A,5.31,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,"The root cause is that the specified image 'nginx:this-tag-is-fake-123' does not exist, causing the pod to fail to start"
INC-003,nvidia-mistral,B,7.04,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,The root cause is a failed image pull for the specified pod 'target-app-f6db4c6b6-xwt7j'. The image 'nginx:this-tag-is-f
INC-003,nvidia-mistral,C,4.28,1,0.5,0.9,PARTIAL_GROUNDING,PodCrashLooping,"The provided incident context indicates that the pod 'my-pod' is in a CrashLoopBackOff state, which means it is repeated"
INC-003,nvidia-mistral,D,3.15,1,0.0,0.9,CONFIDENT_LIAR,PodCrashLooping,The pod 'my-pod' is crashing due to an error in the application code causing an infinite loop.
INC-007,nvidia-mistral,A,4.66,1,0.0,1.0,CONFIDENT_LIAR,MemoryPressure,The root cause is the MemoryPressure incident caused by a chaos experiment (memory_hog). This has led to the nginx proce
INC-007,nvidia-mistral,B,5.46,1,0.0,1.0,CONFIDENT_LIAR,MemoryPressure,The root cause of the incident is a MemoryPressure condition caused by a chaos engineering experiment (memory_hog). The 
INC-007,nvidia-mistral,C,6.02,1,0.0,0.9,CONFIDENT_LIAR,MemoryPressure,"The root cause of the failure is a process (with PID 44) exiting with code 127, indicating a command not found error. Th"
INC-007,nvidia-mistral,D,3.95,0,0.0,1.0,HONEST_FAILURE,ResourceExhaustion,The incident is caused by a memory pressure due to the Chaos Engineering memory_hog operation.
INC-008,nvidia-llama,A,4.51,1,0.0,0.99,CONFIDENT_LIAR,PodCrashLooping,The pod is unable to pull the specified image 'nginx:this-tag-is-fake-123' because it does not exist in the Docker regis
INC-008,nvidia-llama,B,3.53,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,"The pod is unable to start due to an image pull failure. The image 'nginx:this-tag-is-fake-123' does not exist, causing "
