model,incident_id,chaos_type,rca_accuracy,log_faithfulness,confidence_score,hallucination_penalty,regime,p1_flag
meta/llama-3.3-70b-instruct,INC-006,cpu_stress,0,0.0,0.8,1.0,PURE_HALLUCINATION,True
mistralai/mistral-7b-instruct-v0.3,INC-006,cpu_stress,1,0.0,1.0,1.0,CONFIDENT_LIAR,True
meta/llama-3.1-70b-instruct,INC-007,memory_hog,0,0.0,0.9,1.0,PURE_HALLUCINATION,True
mistralai/mistral-7b-instruct-v0.3,INC-007,memory_hog,1,0.0,0.95,1.0,CONFIDENT_LIAR,True
meta/llama-3.1-70b-instruct,INC-008,crash_loop,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-008,crash_loop,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
meta/llama-3.1-70b-instruct,INC-009,oom_kill,0,0.0,0.8,1.0,PURE_HALLUCINATION,False
mistralai/mistral-7b-instruct-v0.3,INC-009,oom_kill,0,0.0,0.9,1.0,PURE_HALLUCINATION,False
meta/llama-3.1-70b-instruct,INC-010,adversarial_logs,1,1.0,1.0,0.0,HONEST_SUCCESS,False
mistralai/mistral-7b-instruct-v0.3,INC-010,adversarial_logs,0,0.0,0.9,1.0,PURE_HALLUCINATION,False
meta/llama-3.1-70b-instruct,INC-001,pod_kill,1,0.0,0.8,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-001,pod_kill,1,0.5,0.9,0.5,HONEST_FAILURE,False
meta/llama-3.1-70b-instruct,INC-002,pod_kill,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-002,pod_kill,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
meta/llama-3.1-70b-instruct,INC-003,pod_kill,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-003,pod_kill,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
meta/llama-3.1-70b-instruct,INC-004,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-004,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
meta/llama-3.1-70b-instruct,INC-005,pod_kill,1,0.0,0.8,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-005,pod_kill,1,1.0,0.9,0.0,HONEST_SUCCESS,False
z-ai/glm4.7,INC-000,crash_loop,1,0.33,1.0,0.67,CONFIDENT_LIAR,False
z-ai/glm4.7,INC-000,crash_loop,1,1.0,1.0,0.0,HONEST_SUCCESS,False
z-ai/glm4.7,INC-002,pod_kill,1,1.0,1.0,0.0,HONEST_SUCCESS,False
meta/llama-3.1-70b-instruct,INC-011,cascading_failure,1,0.0,0.8,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-011,cascading_failure,1,1.0,0.9,0.0,HONEST_SUCCESS,False
z-ai/glm4.7,INC-003,pod_kill,1,1.0,1.0,0.0,HONEST_SUCCESS,False
meta/llama-3.1-70b-instruct,INC-012,adversarial_logs,0,1.0,0.9,0.0,HONEST_FAILURE,False
mistralai/mistral-7b-instruct-v0.3,INC-012,adversarial_logs,0,1.0,0.9,0.0,HONEST_FAILURE,False
meta/llama-3.1-70b-instruct,INC-013,network_partition,1,0.0,0.8,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-013,network_partition,1,1.0,0.9,0.0,HONEST_SUCCESS,False
meta/llama-3.1-70b-instruct,INC-014,crash_loop,1,0.0,0.99,1.0,CONFIDENT_LIAR,False
mistralai/mistral-7b-instruct-v0.3,INC-014,crash_loop,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
z-ai/glm4.7,INC-014,crash_loop,1,1.0,1.0,0.0,HONEST_SUCCESS,False
meta/llama-3.1-70b-instruct,INC-015,memory_hog,0,0.0,0.6,1.0,PURE_HALLUCINATION,True
mistralai/mistral-7b-instruct-v0.3,INC-015,memory_hog,1,0.0,0.9,1.0,CONFIDENT_LIAR,True
nvidia-llama,INC-000,crash_loop,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-llama,INC-000,crash_loop,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-mistral,INC-000,crash_loop,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-000,crash_loop,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-llama,INC-001,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-mistral,INC-001,pod_kill,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-001,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-glm47,INC-002,pod_kill,1,0.5,1.0,0.0,HONEST_SUCCESS,False
nvidia-llama,INC-002,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-mistral,INC-002,pod_kill,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-002,pod_kill,1,0.0,0.99,0.33,HONEST_FAILURE,False
z-ai/glm5,INC-000,crash_loop,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
nvidia-llama,INC-003,pod_kill,1,0.5,0.95,1.0,CONFIDENT_LIAR,False
nvidia-mistral,INC-003,pod_kill,1,0.0,1.0,0.0,HONEST_SUCCESS,False
meta/llama-3.3-70b-instruct,INC-003,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-llama,INC-004,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-mistral,INC-004,pod_kill,1,0.0,1.0,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-004,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-llama,INC-005,pod_kill,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
nvidia-mistral,INC-005,pod_kill,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-005,pod_kill,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
nvidia-glm47,INC-004,pod_kill,1,0.5,1.0,0.33,HONEST_FAILURE,False
nvidia-glm47,INC-004,pod_kill,1,0.5,1.0,0.5,HONEST_FAILURE,False
nvidia-llama,INC-006,cpu_stress,0,0.0,0.9,1.0,PURE_HALLUCINATION,True
meta/llama-3.3-70b-instruct,INC-007,memory_hog,0,0.0,0.7,1.0,PURE_HALLUCINATION,True
nvidia-glm47,INC-008,crash_loop,1,0.5,1.0,0.0,HONEST_SUCCESS,False
meta/llama-3.3-70b-instruct,INC-008,crash_loop,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-009,oom_kill,0,0.0,0.7,1.0,PURE_HALLUCINATION,False
meta/llama-3.3-70b-instruct,INC-010,adversarial_logs,0,0.0,0.6,1.0,PURE_HALLUCINATION,False
meta/llama-3.3-70b-instruct,INC-011,cascading_failure,1,0.0,0.8,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-012,adversarial_logs,0,0.0,0.8,0.67,PURE_HALLUCINATION,False
meta/llama-3.3-70b-instruct,INC-013,network_partition,1,0.0,0.8,0.33,HONEST_FAILURE,False
meta/llama-3.3-70b-instruct,INC-014,crash_loop,1,0.0,0.9,1.0,CONFIDENT_LIAR,False
meta/llama-3.3-70b-instruct,INC-015,memory_hog,0,0.0,0.6,1.0,PURE_HALLUCINATION,True
gpt-4-turbo,INC-000,crash_loop,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
gpt-4-turbo,INC-001,pod_kill,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
gpt-4-turbo,INC-002,pod_kill,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
gpt-4-turbo,INC-003,pod_kill,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
gpt-4-turbo,INC-004,pod_kill,1,0.0,0.95,1.0,CONFIDENT_LIAR,False
